type,mode,vaf,mean_sensitivity,n_replicates
indel,discovery,0.0005,0.0,2
indel,discovery,0.001,0.3,2
indel,discovery,0.0015,0.7,2
indel,discovery,0.002,0.9,2
indel,discovery,0.0025,1.0,2
indel,discovery,0.003,1.0,2
indel,discovery,0.004,0.9,2
indel,discovery,0.005,1.0,2
indel,discovery,0.006,1.0,2
indel,discovery,0.01,1.0,2
indel,discovery,0.0125,1.0,2
indel,discovery,0.015,1.0,2
indel,discovery,0.0175,0.8,2
indel,discovery,0.02,1.0,2
indel,discovery,0.025,0.8,2
indel,discovery,0.03,1.0,2
indel,discovery,0.035,0.9,2
indel,discovery,0.04,0.8,2
indel,discovery,0.05,1.0,2
indel,discovery,0.1,1.0,2
ins,discovery,0.0005,0.0,2
ins,tumour_informed,0.0005,0.0,2
ins,discovery,0.001,0.0,2
ins,tumour_informed,0.001,0.0,2
ins,discovery,0.0015,0.5,2
ins,tumour_informed,0.0015,0.5,2
ins,discovery,0.002,0.0,2
ins,tumour_informed,0.002,0.0,2
ins,discovery,0.0025,0.5,2
ins,tumour_informed,0.0025,0.5,2
ins,discovery,0.003,1.0,2
ins,tumour_informed,0.003,1.0,2
ins,discovery,0.004,0.0,2
ins,tumour_informed,0.004,0.0,2
ins,discovery,0.005,0.0,2
ins,tumour_informed,0.005,0.0,2
ins,discovery,0.006,0.5,2
ins,tumour_informed,0.006,0.5,2
ins,discovery,0.01,1.0,2
ins,tumour_informed,0.01,1.0,2
ins,discovery,0.0125,1.0,2
ins,tumour_informed,0.0125,1.0,2
ins,discovery,0.015,1.0,2
ins,tumour_informed,0.015,1.0,2
ins,discovery,0.0175,1.0,2
ins,tumour_informed,0.0175,1.0,2
ins,discovery,0.02,1.0,2
ins,tumour_informed,0.02,1.0,2
ins,discovery,0.025,1.0,2
ins,tumour_informed,0.025,1.0,2
ins,discovery,0.03,1.0,2
ins,tumour_informed,0.03,1.0,2
ins,discovery,0.035,1.0,2
ins,tumour_informed,0.035,1.0,2
ins,discovery,0.04,1.0,2
ins,tumour_informed,0.04,1.0,2
ins,discovery,0.05,1.0,2
ins,tumour_informed,0.05,1.0,2
ins,discovery,0.1,1.0,2
ins,tumour_informed,0.1,1.0,2
novins,discovery,0.0005,0.0,2
novins,tumour_informed,0.0005,0.0,2
novins,discovery,0.001,0.0,2
novins,tumour_informed,0.001,0.0,2
novins,discovery,0.0015,0.5,2
novins,tumour_informed,0.0015,0.5,2
novins,discovery,0.002,1.0,2
novins,tumour_informed,0.002,1.0,2
novins,discovery,0.0025,1.0,2
novins,tumour_informed,0.0025,1.0,2
novins,discovery,0.003,1.0,2
novins,tumour_informed,0.003,1.0,2
novins,discovery,0.004,0.5,2
novins,tumour_informed,0.004,0.5,2
novins,discovery,0.005,1.0,2
novins,tumour_informed,0.005,1.0,2
novins,discovery,0.006,1.0,2
novins,tumour_informed,0.006,1.0,2
novins,discovery,0.01,1.0,2
novins,tumour_informed,0.01,1.0,2
novins,discovery,0.0125,1.0,2
novins,tumour_informed,0.0125,1.0,2
novins,discovery,0.015,1.0,2
novins,tumour_informed,0.015,1.0,2
novins,discovery,0.0175,1.0,2
novins,tumour_informed,0.0175,1.0,2
novins,discovery,0.02,1.0,2
novins,tumour_informed,0.02,1.0,2
novins,discovery,0.025,1.0,2
novins,tumour_informed,0.025,1.0,2
novins,discovery,0.03,1.0,2
novins,tumour_informed,0.03,1.0,2
novins,discovery,0.035,1.0,2
novins,tumour_informed,0.035,1.0,2
novins,discovery,0.04,1.0,2
novins,tumour_informed,0.04,1.0,2
novins,discovery,0.05,1.0,2
novins,tumour_informed,0.05,1.0,2
novins,discovery,0.1,1.0,2
novins,tumour_informed,0.1,1.0,2
snv,discovery,0.0005,0.6,2
snv,discovery,0.001,0.7,2
snv,discovery,0.0015,0.9,2
snv,discovery,0.002,1.0,2
snv,discovery,0.0025,1.0,2
snv,discovery,0.003,1.0,2
snv,discovery,0.004,1.0,2
snv,discovery,0.005,1.0,2
snv,discovery,0.006,1.0,2
snv,discovery,0.01,1.0,2
snv,discovery,0.0125,1.0,2
snv,discovery,0.015,1.0,2
snv,discovery,0.0175,1.0,2
snv,discovery,0.02,0.9,2
snv,discovery,0.025,1.0,2
snv,discovery,0.03,1.0,2
snv,discovery,0.035,1.0,2
snv,discovery,0.04,1.0,2
snv,discovery,0.05,1.0,2
snv,discovery,0.1,1.0,2
sv,discovery,0.0005,0.25,2
sv,discovery,0.001,0.75,2
sv,discovery,0.0015,0.75,2
sv,discovery,0.002,0.75,2
sv,discovery,0.0025,1.0,2
sv,discovery,0.003,1.0,2
sv,discovery,0.004,1.0,2
sv,discovery,0.005,1.0,2
sv,discovery,0.006,1.0,2
sv,discovery,0.01,1.0,2
sv,discovery,0.0125,1.0,2
sv,discovery,0.015,1.0,2
sv,discovery,0.0175,1.0,2
sv,discovery,0.02,1.0,2
sv,discovery,0.025,1.0,2
sv,discovery,0.03,1.0,2
sv,discovery,0.035,1.0,2
sv,discovery,0.04,1.0,2
sv,discovery,0.05,1.0,2
sv,discovery,0.1,1.0,2
