sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11437	4869	737	0	0	1850.1	1597.9	1597.9	0.0	1597.9	109.8	109.7	99.7	0.0	99.8	1850.1	17.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12228	5587	781	0	0	1938.3	1680.5	1680.5	0.0	1680.5	109.8	109.7	99.8	0.0	109.7	1938.3	19.3	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11210	4731	651	0	0	1846.6	1584.6	1584.6	0.0	1584.6	109.8	109.8	99.8	0.0	109.8	1846.6	17.2	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12314	5289	739	0	0	1939.8	1688.0	1688.0	0.0	1688.0	109.8	109.8	99.8	0.0	99.8	1939.8	19.0	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11005	4556	637	0	0	1856.0	1583.1	1583.1	0.0	1583.1	109.8	109.7	99.8	0.0	109.7	1856.0	16.7	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	10866	4606	635	0	0	1857.6	1584.9	1584.9	0.0	1584.9	109.8	109.7	99.8	0.0	109.8	1857.6	16.7	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11160	5223	671	0	0	1902.5	1608.0	1608.0	1608.0	1608.0	109.8	109.7	99.8	99.8	99.8	1902.5	17.7	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	12364	6129	773	0	0	1999.8	1714.3	1714.3	0.0	1714.3	109.8	109.8	99.8	0.0	99.8	1999.8	19.9	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11201	5287	703	0	0	1867.8	1593.7	1593.7	0.0	1593.7	109.8	109.8	99.8	0.0	99.8	1867.8	17.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	13133	6498	920	0	0	2031.2	1751.9	1751.9	0.0	1751.9	109.7	109.7	99.8	0.0	99.7	2031.2	21.3	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11590	5408	708	0	0	1916.9	1640.5	1640.5	0.0	1640.5	109.7	109.7	99.8	0.0	99.8	1916.9	18.4	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11027	5254	665	0	0	1837.5	1583.9	1583.9	0.0	1583.9	109.8	109.7	99.8	0.0	99.8	1837.5	17.6	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11655	5873	788	0	0	1963.4	1660.6	1660.6	0.0	1660.6	109.8	109.7	109.7	0.0	109.7	1963.4	19.0	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11358	5593	714	0	0	1923.8	1624.3	1624.3	0.0	1624.3	109.8	109.7	99.8	0.0	99.8	1923.8	18.4	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11389	5653	702	0	0	1904.4	1628.0	1628.0	0.0	1628.0	109.7	109.7	99.8	0.0	109.8	1904.4	18.4	0
Sample_30ng_VAF_2pc	30ng	2.0	351632	26230	7.46	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11416	5802	732	0	0	1908.3	1631.9	1631.9	0.0	1631.9	109.8	109.7	109.7	0.0	99.8	1908.3	18.6	0
Sample_5ng_VAF_0p001pc	5ng	0.001	346394	32088	9.263	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16989	3277	336	0	0	1908.3	1633.3	1633.3	0.0	1633.3	109.8	109.7	99.7	0.0	99.8	1908.3	21.2	0
Sample_5ng_VAF_0p01pc	5ng	0.01	371322	31531	8.492	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	18340	3542	325	0	0	1945.5	1667.8	1667.8	0.0	1667.8	109.7	109.7	99.7	0.0	99.8	1945.5	22.8	0
Sample_5ng_VAF_0p1pc	5ng	0.1	365013	33282	9.118	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17636	3519	339	0	0	1929.2	1664.4	1664.4	0.0	1664.4	109.8	109.7	99.8	0.0	109.7	1929.2	22.1	0
Sample_5ng_VAF_0p25pc	5ng	0.25	358335	37306	10.411	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16848	3635	353	0	0	1912.5	1660.9	1660.9	0.0	1660.9	109.7	109.7	99.8	0.0	99.8	1912.5	21.4	0
Sample_5ng_VAF_0p5pc	5ng	0.5	361035	32167	8.91	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17250	3324	308	0	0	1906.4	1654.1	1654.1	0.0	1654.1	109.8	109.7	99.8	0.0	99.8	1906.4	21.5	0
Sample_5ng_VAF_0pc	5ng	0.0	350807	22299	6.356	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17209	3054	257	0	0	1907.5	1620.5	1620.5	0.0	1620.5	109.8	109.7	99.8	0.0	99.8	1907.5	21.1	0
Sample_5ng_VAF_1pc	5ng	1.0	358466	33116	9.238	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16635	3490	343	0	0	1914.3	1650.8	1650.8	0.0	1650.8	110.1	109.8	99.8	0.0	99.7	1914.3	21.1	0
Sample_5ng_VAF_2pc	5ng	2.0	346773	29680	8.559	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16305	3190	291	0	0	1906.4	1630.8	1630.8	0.0	1630.8	109.8	109.7	99.7	0.0	99.8	1906.4	20.3	0
