ng,vaf,disc_precision,v1_precision,v2_precision,ti_precision,disc_fp,v1_fp,v2_fp,ti_fp,disc_sensitivity,v2_ml_sensitivity,ti_sensitivity
5ng,0.0,0.0,0.0,0.0,0.0,43,43,3,0,0.0,0.0,0.0
5ng,0.001,0.0,0.0,0.0,0.0,34,34,1,0,0.0,0.0,0.0
5ng,0.01,0.0,0.0,0.0,0.0,42,42,4,0,0.0,0.0,0.0
5ng,0.1,0.0536,0.0536,0.5,1.0,53,53,3,0,0.008,0.008,0.008
5ng,0.25,0.3836,0.3836,0.9333,1.0,45,45,2,0,0.0747,0.0747,0.0747
5ng,0.5,0.6481,0.6481,0.9722,1.0,38,38,2,0,0.1867,0.1867,0.1867
5ng,1.0,0.7614,0.7614,0.974,1.0,47,47,4,0,0.4,0.4,0.4
5ng,2.0,0.8382,0.8382,1.0,1.0,39,39,0,0,0.5387,0.5387,0.5387
15ng,0.0,0.0133,0.0133,0.0,1.0,74,74,6,0,0.0027,0.0,0.0027
15ng,0.001,0.0,0.0,0.0,0.0,70,70,6,0,0.0,0.0,0.0
15ng,0.01,0.0147,0.0147,0.1429,1.0,67,67,6,0,0.0027,0.0027,0.0027
15ng,0.1,0.2558,0.2558,0.7333,1.0,64,64,8,0,0.0587,0.0587,0.0587
15ng,0.25,0.5914,0.5914,0.9565,1.0,76,76,5,0,0.2933,0.2933,0.2933
15ng,0.5,0.6853,0.6853,0.9578,1.0,73,73,7,0,0.424,0.424,0.424
15ng,1.0,0.7552,0.7552,0.9686,1.0,70,70,7,0,0.576,0.576,0.576
15ng,2.0,0.6932,0.6932,0.9792,1.0,104,104,5,0,0.6267,0.6267,0.6267
30ng,0.0,0.0,0.0,0.0,0.0,86,86,18,0,0.0,0.0,0.0
30ng,0.001,0.0241,0.0241,0.0625,1.0,81,81,15,0,0.0053,0.0027,0.0053
30ng,0.01,0.0241,0.0241,0.0,1.0,81,81,16,0,0.0053,0.0,0.0053
30ng,0.1,0.287,0.287,0.5366,1.0,77,77,19,0,0.0827,0.0587,0.0827
30ng,0.25,0.5784,0.5784,0.823,1.0,78,78,20,0,0.2853,0.248,0.2853
30ng,0.5,0.6863,0.6863,0.8985,1.0,85,85,20,0,0.496,0.472,0.496
30ng,1.0,0.7199,0.7199,0.8934,1.0,86,86,26,0,0.5893,0.5813,0.5893
30ng,2.0,0.7525,0.7525,0.925,1.0,75,75,18,0,0.608,0.592,0.608
