sample	mode	n_reads	total_ms	assemble_ms	index_ms	pathfind_ms	call_ms
Sample_15ng_VAF_0p001pc	discovery	2000000	19036	11671	5167	2195	2
Sample_15ng_VAF_0p001pc	monitoring	2000000	18801	11807	4898	2091	2
Sample_15ng_VAF_0p01pc	discovery	2000000	21104	12577	5908	2614	2
Sample_15ng_VAF_0p01pc	monitoring	2000000	21117	12444	6040	2628	3
Sample_15ng_VAF_0p1pc	discovery	2000000	18067	11516	4814	1732	2
Sample_15ng_VAF_0p1pc	monitoring	2000000	17842	11405	4723	1708	3
Sample_15ng_VAF_0p25pc	discovery	2000000	22308	12849	6136	3317	3
Sample_15ng_VAF_0p25pc	monitoring	2000000	22167	12817	5994	3349	3
Sample_15ng_VAF_0p5pc	discovery	2000000	19112	11494	4630	2982	3
Sample_15ng_VAF_0p5pc	monitoring	2000000	19187	11271	4737	3173	3
Sample_15ng_VAF_0pc	discovery	2000000	18463	11374	4834	2251	2
Sample_15ng_VAF_0pc	monitoring	2000000	18510	11389	4868	2247	3
Sample_15ng_VAF_1pc	discovery	2000000	19939	11995	5423	2515	2
Sample_15ng_VAF_1pc	monitoring	2000000	19368	11730	5144	2488	3
Sample_15ng_VAF_2pc	discovery	2000000	24128	13333	6462	4325	3
Sample_15ng_VAF_2pc	monitoring	2000000	23644	13246	6213	4177	4
Sample_30ng_VAF_0p001pc	discovery	2000000	20409	11753	5874	2778	2
Sample_30ng_VAF_0p001pc	monitoring	2000000	20082	11521	5809	2746	2
Sample_30ng_VAF_0p01pc	discovery	2000000	30484	13901	8292	8286	3
Sample_30ng_VAF_0p01pc	monitoring	2000000	30025	14034	8077	7909	3
Sample_30ng_VAF_0p1pc	discovery	2000000	21232	12105	6347	2775	2
Sample_30ng_VAF_0p1pc	monitoring	2000000	20983	12082	6178	2718	2
Sample_30ng_VAF_0p25pc	discovery	2000000	19687	11585	5653	2445	2
Sample_30ng_VAF_0p25pc	monitoring	2000000	19609	11631	5547	2426	2
Sample_30ng_VAF_0p5pc	discovery	2000000	23990	12236	6421	5328	3
Sample_30ng_VAF_0p5pc	monitoring	2000000	23712	12115	6292	5299	3
Sample_30ng_VAF_0pc	discovery	2000000	20861	11865	5903	3089	2
Sample_30ng_VAF_0pc	monitoring	2000000	20999	11846	6040	3108	2
Sample_30ng_VAF_1pc	discovery	2000000	21179	12007	5957	3210	3
Sample_30ng_VAF_1pc	monitoring	2000000	21247	12047	5952	3242	3
Sample_30ng_VAF_2pc	discovery	2000000	21849	12001	6257	3584	3
Sample_30ng_VAF_2pc	monitoring	2000000	21714	11876	6202	3631	3
Sample_5ng_VAF_0p001pc	discovery	2000000	25526	18804	5925	793	1
Sample_5ng_VAF_0p001pc	monitoring	2000000	25610	18935	5865	805	2
Sample_5ng_VAF_0p01pc	discovery	2000000	27061	20125	6241	691	1
Sample_5ng_VAF_0p01pc	monitoring	2000000	27698	20637	6373	684	2
Sample_5ng_VAF_0p1pc	discovery	2000000	26750	19556	6123	1068	1
Sample_5ng_VAF_0p1pc	monitoring	2000000	26823	19740	6030	1049	2
Sample_5ng_VAF_0p25pc	discovery	2000000	25690	18980	5944	762	2
Sample_5ng_VAF_0p25pc	monitoring	2000000	25720	18975	5992	749	2
Sample_5ng_VAF_0p5pc	discovery	2000000	25833	19044	5951	834	2
Sample_5ng_VAF_0p5pc	monitoring	2000000	25829	18945	6027	852	2
Sample_5ng_VAF_0pc	discovery	2000000	25335	19139	5632	561	1
Sample_5ng_VAF_0pc	monitoring	2000000	25441	19166	5693	578	1
Sample_5ng_VAF_1pc	discovery	2000000	24943	18269	5792	877	2
Sample_5ng_VAF_1pc	monitoring	2000000	24736	18140	5711	880	2
Sample_5ng_VAF_2pc	discovery	2000000	24445	18034	5674	732	2
Sample_5ng_VAF_2pc	monitoring	2000000	24489	18042	5701	740	3
