model,fold,precision,recall,f1,auprc,auroc
lightgbm,0,0.0015193719929095975,0.375,0.003026481715006305,0.0008551057339164722,0.6013796030159126
xgboost,0,0.002369668246445498,0.125,0.004651162790697674,0.001902287366145417,0.714756206781638
baseline_pass,0,0.0025806451612903226,0.125,0.0050568900126422255,0.0006140772721288925,0.5544499291843706
lightgbm,1,0.00139234211834908,0.875,0.0027802601529143085,0.0013485585693949658,0.8697825543614096
xgboost,1,0.0022271714922048997,0.125,0.00437636761487965,0.0033837380791717263,0.9384281533783221
baseline_pass,1,0.0,0.0,0.0,0.00033313900224868825,0.49216862451053905
lightgbm,2,0.0008088978766430738,0.8,0.0016161616161616162,0.0006887624107551787,0.7336137954015327
xgboost,2,0.003117692907248636,0.4,0.006187161639597835,0.0040693839519487475,0.8640723925358214
baseline_pass,2,0.0,0.0,0.0,0.00020822054720359806,0.49167985671442854
lightgbm,3,0.0004885794552339074,1.0,0.0009766817238432426,0.0004885794552339074,0.914799466910999
xgboost,3,0.0009643201542912247,0.5,0.0019249278152069298,0.0008476941501238176,0.8780038315771939
baseline_pass,3,0.0012254901960784314,0.25,0.0024390243902439024,0.00036883871318068727,0.6165143059431094
lightgbm,4,0.001789442290486132,0.75,0.0035703659625111574,0.001425369936746038,0.7250052072484898
xgboost,4,0.0,0.0,0.0,0.0010417917257209306,0.81390465528015
baseline_pass,4,0.0,0.0,0.0,0.0003331528755257569,0.49244948968964797
