feature,lgb_gain,xgb_gain
ref_len,192506198.42055768,0.89908653
nalt_over_conf,5342849.853052504,0.028340155
alt_depth,2507630.7631261917,0.014350408
conf,2059577.859886635,0.0065404284
ci_width,1343804.021735261,0.008507573
vaf,1231707.7337567972,0.004059665
nref,755441.4886860125,0.0030034217
vaf_times_conf,710565.7562185659,0.005293626
sbp,651729.5253756332,0.0014413436
alt_len,649273.0036953831,0.003511491
ref_alt_len_ratio,561586.8827000338,0.0037608172
vaf_times_nalt,541395.8403136893,0.0059819343
snr,442358.1275762032,0.005580012
ci_width_rel,384976.8351768691,0.0028113136
indel_size,221363.2983279851,0.005888807
log_vaf,126517.24472829103,0.0
variant_class_enc,11811.253178112971,0.00030089973
conf_above_999,1105.9993019104004,0.0
conf_above_99,380.906005859375,0.001448595
sbp_above_05,68.09559631347656,7.9905745e-05
nalt,2.291255607977854,1.3094961e-05
simplex_only_frac,5.684339853201728e-14,0.0
has_duplex,0.0,0.0
nsimalt,0.0,0.0
ndupalt,0.0,0.0
log_alt_depth,0.0,0.0
log_nref,0.0,0.0
log_nalt,0.0,0.0
duplex_frac,0.0,0.0
vaf_sq,0.0,0.0
nalt_sq,0.0,0.0
conf_sq,0.0,0.0
duplex_enrichment,0.0,0.0
